portofentry,Port Name,City,Flag
RDM,ROBERTS FIELDS - REDMOND, OR,Valid
ERI,ERIE, PA              ,Valid
MDT,HARRISBURG, PA,Valid
HSB,HARRISONBURG, PA      ,Valid
PHI,PHILADELPHIA, PA      ,Valid
PIT,PITTSBURG, PA         ,Valid
AGU,AGUADILLA, PR         ,Valid
BQN,BORINQUEN - AGUADILLO, PR,Valid
JCP,CULEBRA - BENJAMIN RIVERA, PR,Valid
ENS,ENSENADA, PR          ,Valid
FAJ,FAJARDO, PR           ,Valid
HUM,HUMACAO, PR           ,Valid
JOB,JOBOS, PR             ,Valid
MAY,MAYAGUEZ, PR          ,Valid
PON,PONCE, PR             ,Valid
PSE,PONCE-MERCEDITA, PR,Valid
SAJ,SAN JUAN, PR          ,Valid
VQS,VIEQUES-ARPT, PR,Valid
PRO,PROVIDENCE, RI        ,Valid
PVD,THEODORE FRANCIS - WARWICK, RI,Valid
CHL,CHARLESTON, SC        ,Valid
CAE,COLUMBIA, SC #ARPT,Valid
GEO,GEORGETOWN, SC        ,Valid
GSP,GREENVILLE, SC,Valid
GRR,GREER, SC,Valid
MYR,MYRTLE BEACH, SC,Valid
SPF,BLACK HILLS, SPEARFISH,Valid
HON,HOWES REGIONAL ARPT - HURON, SD,Valid
SAI,SAIPAN, SPN           ,Valid
TYS,MC GHEE TYSON - ALCOA, TN,Valid
MEM,MEMPHIS, TN           ,Valid
NSV,NASHVILLE, TN         ,Valid
TRI,TRI CITY ARPT, TN,Valid
ADS,ADDISON AIRPORT- ADDISON, TX,Valid
ADT,AMISTAD DAM, TX       ,Valid
ANZ,ANZALDUAS, TX,Valid
AUS,AUSTIN, TX            ,Valid
BEA,BEAUMONT, TX          ,Valid
BBP,BIG BEND PARK, TX (BPS),Valid
SCC,BP SPEC COORD. CTR, TX,Valid
BTC,BP TACTICAL UNIT, TX   ,Valid
BOA,BRIDGE OF AMERICAS, TX,Valid
BRO,BROWNSVILLE, TX       ,Valid
CRP,CORPUS CHRISTI, TX    ,Valid
DAL,DALLAS, TX            ,Valid
DLR,DEL RIO, TX           ,Valid
DNA,DONNA, TX,Valid
EGP,EAGLE PASS, TX        ,Valid
ELP,EL PASO, TX           ,Valid
FAB,FABENS, TX            ,Valid
FAL,FALCON HEIGHTS, TX    ,Valid
FTH,FORT HANCOCK, TX      ,Valid
AFW,FORT WORTH ALLIANCE, TX,Valid
FPT,FREEPORT, TX          ,Valid
GAL,GALVESTON, TX         ,Valid
HLG,HARLINGEN, TX         ,Valid
HID,HIDALGO, TX           ,Valid
HOU,HOUSTON, TX           ,Valid
SGR,HULL FIELD, SUGAR LAND ARPT,Valid
LLB,JUAREZ-LINCOLN BRIDGE, TX,Valid
LCB,LAREDO COLUMBIA BRIDGE, TX,Valid
LRN,LAREDO NORTH, TX      ,Valid
LAR,LAREDO, TX            ,Valid
LSE,LOS EBANOS, TX        ,Valid
IND,LOS INDIOS, TX,Valid
LOI,LOS INDIOS, TX        ,Valid
MRS,MARFA, TX (BPS),Valid
MCA,MCALLEN, TX           ,Valid
MAF,ODESSA REGIONAL, TX,Valid
PDN,PASO DEL NORTE,TX     ,Valid
PBB,PEACE BRIDGE, NY      ,Valid
PHR,PHARR, TX             ,Valid
PAR,PORT ARTHUR, TX       ,Valid
ISB,PORT ISABEL, TX       ,Valid
POE,PORT OF EL PASO, TX   ,Valid
PRE,PRESIDIO, TX          ,Valid
PGR,PROGRESO, TX          ,Valid
RIO,RIO GRANDE CITY, TX   ,Valid
ROM,ROMA, TX              ,Valid
SNA,SAN ANTONIO, TX       ,Valid
SNN,SANDERSON, TX         ,Valid
VIB,VETERAN INTL BRIDGE, TX,Valid
YSL,YSLETA, TX            ,Valid
CHA,CHARLOTTE AMALIE, VI  ,Valid
CHR,CHRISTIANSTED, VI     ,Valid
CRU,CRUZ BAY, ST JOHN,Valid
FRK,FREDERIKSTED, VI      ,Valid
STT,ST THOMAS, VI         ,Valid
LGU,CACHE AIRPORT - LOGAN, UT,Valid
SLC,SALT LAKE CITY, UT    ,Valid
CHO,ALBEMARLE CHARLOTTESVILLE, VA,Valid
DAA,DAVISON AAF - FAIRFAX CNTY, VA,Valid
HOP,HOPEWELL, VA          ,Valid
HEF,MANASSAS, VA #ARPT,Valid
NWN,NEWPORT, VA           ,Valid
NOR,NORFOLK, VA           ,Valid
RCM,RICHMOND, VA          ,Valid
ABS,ALBURG SPRINGS, VT    ,Valid
ABG,ALBURG, VT            ,Valid
BEB,BEEBE PLAIN, VT       ,Valid
BEE,BEECHER FALLS, VT     ,Valid
BRG,BURLINGTON, VT        ,Valid
CNA,CANAAN, VT            ,Valid
DER,DERBY LINE, VT (I-91) ,Valid
DLV,DERBY LINE, VT (RT. 5),Valid
ERC,EAST RICHFORD, VT     ,Valid
HIG,HIGHGATE SPRINGS, VT  ,Valid
MOR,MORSES LINE, VT       ,Valid
NPV,NEWPORT, VT           ,Valid
NRT,NORTH TROY, VT        ,Valid
NRN,NORTON, VT            ,Valid
PIV,PINNACLE ROAD, VT     ,Valid
RIF,RICHFORT, VT          ,Valid
STA,ST ALBANS, VT         ,Valid
SWB,SWANTON, VT (BP - SECTOR HQ),Valid
WBE,WEST BERKSHIRE, VT    ,Valid
ABE,ABERDEEN, WA          ,Valid
ANA,ANACORTES, WA         ,Valid
BEL,BELLINGHAM, WA        ,Valid
BLI,BELLINGHAM, WASHINGTON #INTL,Valid
BLA,BLAINE, WA            ,Valid
BWA,BOUNDARY, WA          ,Valid
CUR,CURLEW, WA (BPS),Valid
DVL,DANVILLE, WA          ,Valid
EVE,EVERETT, WA           ,Valid
FER,FERRY, WA             ,Valid
FRI,FRIDAY HARBOR, WA     ,Valid
FWA,FRONTIER, WA          ,Valid
KLM,KALAMA, WA            ,Valid
LAU,LAURIER, WA           ,Valid
LON,LONGVIEW, WA          ,Valid
MET,METALINE FALLS, WA    ,Valid
MWH,MOSES LAKE GRANT COUNTY ARPT, WA,Valid
NEA,NEAH BAY, WA          ,Valid
NIG,NIGHTHAWK, WA         ,Valid
OLY,OLYMPIA, WA           ,Valid
ORO,OROVILLE, WA          ,Valid
PWB,PASCO, WA             ,Valid
PIR,POINT ROBERTS, WA     ,Valid
PNG,PORT ANGELES, WA      ,Valid
PTO,PORT TOWNSEND, WA     ,Valid
SEA,SEATTLE, WA           ,Valid
SPO,SPOKANE, WA           ,Valid
SUM,SUMAS, WA             ,Valid
TAC,TACOMA, WA            ,Valid
PSC,TRI-CITIES - PASCO, WA,Valid
VAN,VANCOUVER, WA         ,Valid
AGM,ALGOMA, WI            ,Valid
BAY,BAYFIELD, WI          ,Valid
GRB,GREEN BAY, WI         ,Valid
MNW,MANITOWOC, WI         ,Valid
